date,gt_value
2020-01-01,56486
2020-01-16,60139
2020-02-01,74490
2020-02-16,29842
2020-03-01,16326
2020-03-16,49936
2020-04-01,93254
2020-04-16,3512
2020-05-01,26815
2020-05-16,33467
2020-06-01,106295
2020-06-16,7027
2020-07-01,63923
2020-07-16,61403
2020-08-01,71599
2020-08-16,70268
2020-09-01,17770
2020-09-16,27761
2020-10-01,25113
2020-10-16,37522
2020-11-01,6408
2020-11-16,14275
2020-12-01,49215
2020-12-16,102272
2021-01-01,36735
2021-01-16,40584
2021-02-01,133037
2021-02-16,35669
2021-03-01,5866
2021-03-16,4512
2021-04-01,8525
2021-04-16,10256
2021-05-01,25280
2021-05-16,65514
2021-06-01,57053
2021-06-16,18715
2021-07-01,47810
2021-07-16,17120
2021-08-01,1765
2021-08-16,11678
2021-09-01,8165
2021-09-16,20977
2021-10-01,3146
2021-10-16,27429
2021-11-01,40451
2021-11-16,17387
2021-12-01,4584
2021-12-16,53097
