date,Area_Sum
2020-01-01,4665648600
2020-01-16,1565896200
2020-02-01,3420931400
2020-02-16,4452252900
2020-03-01,1419752700
2020-03-16,2858134000
2020-04-01,3661249100
2020-04-16,120016300
2020-05-01,3031595400
2020-05-16,2181739200
2020-06-01,1551359300
2020-06-16,3166542300
2020-07-01,3199710900
2020-07-16,1979907600
2020-08-01,2318755400
2020-08-16,1546386500
2020-09-01,745594000
2020-09-16,1462690600
2020-10-01,910472900
2020-10-16,931212600
2020-11-01,7275128300
2020-11-16,3517499400
2020-12-01,520707200
2020-12-16,1692808200
2021-01-01,4038775400
2021-01-16,2391405800
2021-02-01,1065776300
2021-02-16,2680177000
2021-03-01,260068000
2021-03-16,491249000
2021-04-01,326320800
2021-04-16,161840700
2021-05-01,293080000
2021-05-16,310232700
2021-06-01,1663465700
2021-06-16,483294500
2021-07-01,1149143600
2021-07-16,675253600
2021-08-01,393025300
2021-08-16,1449737900
2021-09-01,1754160600
2021-09-16,846284200
2021-10-01,777433100
2021-10-16,649829800
2021-11-01,634958800
2021-11-16,1843927300
2021-12-01,518123900
2021-12-16,5119193100
